city,pop2008,pop2020,lat,long
Adana,2026319,2258718,37,35.321
Adıyaman,585067,632459,37.765,38.279
Afyonkarahisar,697365,736912,38.751,30.557
Ağrı,532180,535435,39.627,43.022
Aksaray,370598,423011,38.369,34.037
Amasya,323675,335494,40.65,35.835
Ankara,4548939,5663322,39.921,32.854
Antalya,1859275,2548308,36.884,30.706
Ardahan,112242,96161,41.11,42.702
Artvin,166584,169501,41.183,41.818
Aydın,965500,1119084,37.856,27.842
Balıkesir,1130276,1240285,39.648,27.883
Bartın,185368,198979,41.581,32.461
Batman,485616,620278,37.881,41.135
Bayburt,75675,81910,40.255,40.225
Bilecik,193169,218717,40.057,30.067
Bingöl,256091,281768,39.063,40.77
Bitlis,326897,350994,38.394,42.123
Bolu,268882,314802,40.576,31.579
Burdur,247437,267092,37.461,30.067
Bursa,2507963,3101833,40.267,29.063
Çanakkale,474791,541548,40.155,26.414
Çankırı,176093,192428,40.601,33.613
Çorum,545444,530126,40.551,34.956
Denizli,917836,1040915,37.777,29.086
Diyarbakır,1492828,1783431,37.914,40.231
Düzce,328611,395679,40.844,31.157
Edirne,394644,407763,41.682,26.562
Elazığ,547562,587960,38.681,39.226
Erzincan,210645,234431,39.75,39.5
Erzurum,774967,758279,39.9,41.27
Eskişehir,741739,888828,39.777,30.521
Gaziantep,1612223,2101157,37.066,37.383
Giresun,421766,448721,40.913,38.39
Gümüşhane,131367,141702,40.439,39.509
Hakkari,258590,280514,37.583,43.733
Hatay,1413287,1659320,36.402,36.35
Iğdır,184025,201314,39.888,44.005
Isparta,407463,440304,37.765,30.557
İstanbul,12697164,15462452,41.005,28.977
İzmir,3795978,4394694,38.419,27.129
Kahramanmaraş,1029298,1168163,37.586,36.937
Karabük,216248,243614,41.206,32.62
Karaman,230145,254919,37.176,33.229
Kars,312128,284923,40.617,43.1
Kastamonu,360424,376377,41.389,33.783
Kayseri,1184386,1421455,38.731,35.479
Kırıkkale,279325,278703,39.847,33.515
Kırklareli,336942,361737,41.733,27.217
Kırşehir,222735,243042,39.142,34.171
Kilis,120991,142792,36.718,37.121
Kocaeli,1490358,1997258,40.853,29.882
Konya,1969868,2250020,37.867,32.483
Kütahya,565884,576688,39.417,29.983
Malatya,733789,806156,38.355,38.309
Manisa,1316750,1450616,38.619,27.429
Mardin,750697,854716,37.321,40.724
Mersin,1602908,1868757,36.8,34.633
Muğla,791424,1000773,37.215,28.364
Muş,404309,411117,38.946,41.754
Nevşehir,281699,304962,38.694,34.686
Niğde,338447,362071,37.967,34.683
Ordu,719278,761400,40.984,37.876
Osmaniye,464704,548556,37.213,36.176
Rize,319410,344359,41.02,40.523
Sakarya,851292,1042649,40.694,30.436
Samsun,1233677,1356079,41.293,36.331
Siirt,299819,331070,37.933,41.95
Sinop,200791,216460,42.023,35.153
Sivas,631112,635889,39.748,37.018
Şanlıurfa,1574224,2115256,37.159,38.797
Şırnak,429287,537762,37.419,42.492
Tekirdağ,770772,1081065,40.983,27.517
Tokat,617158,597861,40.317,36.55
Trabzon,748982,811901,41.001,39.718
Tunceli,86449,83443,39.307,39.439
Uşak,334111,369433,38.682,29.408
Van,1004369,1149342,38.489,43.409
Yalova,197412,276050,40.65,29.267
Yozgat,484206,419095,39.818,34.815
Zonguldak,619151,591204,41.456,31.799
