0,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Adana,0,0,0,0,0,0,0,0,0,0,-1,0,0
Adıyaman,0,0,0,0,0,-1,0,1,-1,-1,0,1,0
Afyonkarahisar,3,2,1,1,1,1,1,2,1,1,1,-1,1
Aksaray,1,-1,2,2,2,2,2,3,2,2,2,2,2
Amasya,-1,1,4,7,4,2,3,-1,3,2,6,2,8
Ankara,-1,8,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1
Antalya,3,2,1,1,1,1,1,-1,1,0,1,3,1
Ardahan,2,3,3,3,-1,3,4,-1,4,3,3,4,3
Artvin,2,5,3,-1,3,3,3,7,4,4,4,5,4
Aydın,3,4,1,1,1,1,1,2,1,1,1,3,1
Ağrı,-1,7,3,3,-1,-1,4,5,10,3,5,4,3
Balıkesir,-1,4,8,-1,-1,4,1,2,5,1,1,-1,-1
Bartın,4,5,4,-1,4,5,3,4,6,5,6,6,5
Batman,0,-1,5,4,5,6,5,5,7,6,7,1,6
Bayburt,2,3,3,3,-1,3,3,6,4,-1,4,5,4
Bilecik,-1,-1,8,-1,-1,4,3,-1,5,7,8,-1,7
Bingöl,0,6,0,5,-1,6,5,5,7,8,-1,1,0
Bitlis,-1,6,5,4,5,6,5,5,8,6,7,4,6
Bolu,-1,5,4,6,4,5,3,4,6,5,6,6,5
Burdur,3,2,1,1,1,1,1,2,1,1,1,3,1
Bursa,-1,-1,7,6,-1,4,3,4,5,-1,8,-1,7
Denizli,3,2,1,1,1,1,1,2,1,1,1,3,1
Diyarbakır,0,6,0,-1,0,6,5,1,7,-1,-1,1,-1
Düzce,6,5,-1,6,4,5,3,4,6,5,8,6,5
Edirne,5,9,6,6,6,4,-1,2,9,9,9,7,7
Elazığ,0,6,0,5,-1,6,6,1,7,8,-1,1,0
Erzincan,2,3,3,-1,-1,3,4,-1,4,-1,3,5,-1
Erzurum,2,3,3,3,-1,3,4,7,4,3,3,4,3
Eskişehir,-1,4,-1,-1,-1,-1,3,-1,5,7,-1,-1,7
Gaziantep,0,0,0,0,0,0,0,1,0,0,0,1,0
Giresun,4,5,-1,3,3,3,3,6,-1,10,-1,8,8
Gümüşhane,2,-1,3,3,-1,3,3,6,4,4,4,5,4
Hakkari,-1,10,0,4,5,-1,5,5,8,3,-1,4,6
Hatay,0,0,0,0,0,0,0,1,0,0,0,0,0
Isparta,3,2,1,1,1,1,1,2,1,1,1,3,1
Iğdır,-1,7,3,3,-1,3,4,-1,10,3,5,4,3
Kahramanmaraş,0,0,0,0,0,0,0,1,0,0,0,0,0
Karabük,4,5,4,6,4,5,3,4,6,5,6,6,5
Karaman,1,2,2,2,2,-1,0,-1,0,0,2,0,2
Kars,-1,7,3,3,-1,-1,4,7,10,3,5,4,3
Kastamonu,4,5,4,7,4,5,3,4,-1,5,6,6,5
Kayseri,-1,8,2,2,2,2,2,3,2,-1,2,2,2
Kilis,0,0,0,0,0,0,0,1,0,0,0,1,0
Kocaeli,6,5,7,6,-1,4,3,4,4,-1,8,-1,7
Konya,1,2,2,2,2,-1,2,3,-1,0,2,-1,2
Kütahya,-1,4,-1,1,1,1,1,2,1,1,1,-1,-1
Kırklareli,5,9,6,6,6,4,-1,2,9,9,9,7,7
Kırıkkale,1,1,2,2,-1,2,2,3,2,2,2,-1,2
Kırşehir,1,8,2,2,2,2,2,3,2,2,2,2,2
Malatya,0,0,0,-1,-1,6,6,1,7,8,0,1,0
Manisa,3,4,1,1,1,1,1,2,1,1,1,3,1
Mardin,0,-1,5,4,5,6,5,1,7,6,7,1,-1
Mersin,0,0,0,0,0,0,0,0,0,0,-1,0,0
Muğla,3,2,1,1,1,1,1,2,1,1,1,3,1
Muş,-1,-1,5,-1,5,6,5,5,-1,-1,7,-1,-1
Nevşehir,1,8,2,2,2,2,2,3,2,2,2,2,2
Niğde,1,-1,2,2,2,-1,2,3,2,-1,2,2,2
Ordu,4,5,4,8,-1,5,3,8,3,10,6,8,8
Osmaniye,0,0,0,0,0,0,0,0,0,0,0,0,0
Rize,2,-1,3,3,3,3,3,6,4,4,4,5,4
Sakarya,6,5,7,6,-1,5,3,4,6,5,8,6,7
Samsun,4,-1,4,8,-1,-1,3,-1,3,10,6,8,8
Siirt,-1,-1,0,4,5,6,5,5,8,6,7,1,6
Sinop,4,5,4,8,-1,5,3,8,3,10,6,8,-1
Sivas,-1,8,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1
Tekirdağ,5,9,6,6,6,-1,-1,2,9,9,9,7,7
Tokat,4,-1,4,8,-1,-1,3,8,-1,10,6,8,8
Trabzon,2,5,3,3,3,3,3,6,4,4,4,5,4
Tunceli,-1,10,0,5,-1,6,6,1,7,8,-1,1,0
Uşak,3,4,1,1,1,1,1,2,1,1,1,3,1
Van,-1,10,0,4,5,6,5,5,8,3,7,4,6
Yalova,-1,-1,-1,6,-1,-1,3,4,-1,7,8,-1,7
Yozgat,1,8,2,2,2,2,2,3,2,2,2,2,2
Zonguldak,4,5,4,6,4,5,3,4,6,5,6,6,5
Çanakkale,-1,4,8,-1,-1,4,-1,2,5,1,-1,-1,7
Çankırı,4,1,4,7,4,-1,3,-1,-1,-1,6,6,5
Çorum,4,1,-1,7,4,2,3,-1,3,2,6,2,5
İstanbul,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1
İzmir,3,4,-1,1,1,1,1,2,1,1,1,3,1
Şanlıurfa,0,0,0,4,0,6,0,1,0,6,0,1,0
Şırnak,-1,-1,0,4,5,6,5,5,8,6,7,1,6
